City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
474,Goderich,CA,77.92,overcast clouds,43.7501,-81.7165,Harmony Inn
475,Cockburn Town,TC,82.99,clear sky,21.4612,-71.1419,Osprey Beach Hotel
476,Horn Lake,US,88.32,scattered clouds,34.9554,-90.0348,"Hilton Garden Inn Memphis/Southaven, MS"
479,Touros,BR,75.65,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
481,Kamaishi,JP,76.95,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
483,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
490,Gaomi,CN,75.6,light rain,36.3833,119.7528,Hanting Express Gaomi Fenghuang Street
492,Pafos,CY,80.51,clear sky,34.7667,32.4167,Elysium Hotel
500,Porto De Moz,BR,77.68,scattered clouds,-1.7483,-52.2383,Dormitório labelle
501,Kazerun,IR,88.79,scattered clouds,29.6195,51.6541,آپارتمان بزرگ اویسا
504,Mithi,PK,80.15,few clouds,24.7318,69.7981,Jhapio
506,Belle Glade,US,86.05,scattered clouds,26.6845,-80.6676,Mid-City Trailer Park
511,Phangnga,TH,75.24,broken clouds,8.4509,98.5298,Sunimit Mansion
513,Anyang,CN,76.08,light rain,36.0994,114.3289,Ibis Anyang Jiefang Ave Hotel
514,Bathsheba,BB,81.23,overcast clouds,13.2167,-59.5167,Atlantis Hotel
516,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
519,Portobelo,PA,77.41,overcast clouds,9.55,-79.65,Scuba Portobelo
526,Vila Do Maio,CV,79.97,scattered clouds,15.1333,-23.2167,Hotel Marilu
529,Palauig,PH,82.74,overcast clouds,15.435,119.9045,Gilbert Resuello
531,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
533,Quesnel,CA,79.41,few clouds,52.9999,-122.5029,Ramada by Wyndham Quesnel
535,Bon Air,US,80.89,clear sky,37.5249,-77.5578,DoubleTree by Hilton Hotel Richmond - Midlothian
537,Ajdabiya,LY,82.94,clear sky,30.7554,20.2263,Almadina Hotel
545,Port Keats,AU,75.02,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
552,Pacific Grove,US,89.02,clear sky,36.6177,-121.9166,Lovers Point Inn
556,Kudahuvadhoo,MV,82.67,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
557,Canalete,CO,76.66,overcast clouds,8.6761,-76.2042,Gomez Hernandez
558,Korla,CN,76.14,overcast clouds,41.7597,86.1469,Gulisitan Hotel
559,Lewistown,US,82.9,clear sky,40.5992,-77.5714,Quality Inn & Suites
562,Tabas,IR,85.86,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
563,Millbrook,US,87.37,clear sky,32.4799,-86.3619,Courtyard by Marriott Montgomery Prattville
564,Tha Chang,TH,77.38,broken clouds,9.2642,99.1922,สุริยาค้าไม้
568,Mangrol,IN,81.23,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
571,Oussouye,SN,77.92,moderate rain,12.485,-16.5469,Auberge du Routard
579,Jishou,CN,76.33,overcast clouds,28.3167,109.7167,7 Days Inn
583,Ransang,PH,83.05,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
584,Labuhan,ID,78.67,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
588,Hobyo,SO,76.3,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
592,Rodrigues Alves,BR,81.27,scattered clouds,-7.738,-72.6509,Pousada Aconchego
593,Gurupa,BR,77.25,scattered clouds,-1.405,-51.64,Residencial DWD
596,Anito,PH,80.11,overcast clouds,12.4497,125.2886,"Romeo Alota Property Brgy.Libertad,GamaY,Northern Samar"
602,Progreso,MX,78.91,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
603,Saint Anthony,US,78.15,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
607,Phan Thiet,VN,81.27,broken clouds,10.9333,108.1,Hotel Saigon-PT
610,Jadu,LY,82.2,clear sky,31.953,12.0261,امياس للصرافة
611,Cuencame,MX,86.27,clear sky,24.8711,-103.6964,Hotel La Casa Del Viajero
615,Kobayashi,JP,76.98,overcast clouds,31.9833,130.9833,小林シティホテルPALACE
616,Buchanan,LR,76.96,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
623,Sao Felix Do Xingu,BR,79.9,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
624,Tamiahua,MX,85.23,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
625,Millville,US,79.18,clear sky,39.4021,-75.0393,Fairfield Inn & Suites by Marriott Millville Vineland
627,Kloulklubed,PW,82.9,moderate rain,7.0419,134.2556,Storyboard Beach Resort
631,Greenville,US,82.35,clear sky,35.6127,-77.3663,the 5th Street Inn
633,Dosso,NE,79.63,light rain,13.049,3.1937,Hotel Toubal
635,Jambi,ID,75.76,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
638,Vanimo,PG,77.61,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
641,Saint Andrews,US,85.28,few clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
646,Maningrida,AU,76.01,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
649,Kijang,KR,78.53,overcast clouds,35.2442,129.2139,Samyang Beach Villa
657,Muisne,EC,75.18,overcast clouds,0.6,-80.0333,Quinta Samay
660,Vaitape,PF,79.03,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
663,Matara,LK,76.41,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
668,Surt,LY,80.44,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
672,Port Blair,IN,81.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
676,Rizhao,CN,78.82,overcast clouds,35.4275,119.4553,Novotel Rizhao Suning
685,Puli,TW,79.41,broken clouds,23.9664,120.9695,小島好樂
694,Owensboro,US,86.05,clear sky,37.7742,-87.1133,Courtyard by Marriott Owensboro
695,Roma,US,78.94,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
696,Acoyapa,NI,76.42,overcast clouds,11.9703,-85.1711,Hotel y Restaurante Los Robles
697,Mazara Del Vallo,IT,79.0,few clouds,37.6641,12.588,Vizier Resort & Spa
702,Smithers,CA,77.14,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
703,Awbari,LY,89.62,clear sky,26.5921,12.7805,فندق أوباري
705,Douglas,US,86.61,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
707,Culpeper,US,83.75,scattered clouds,38.5004,-77.9664,Loose Lodge
708,Dorado,PR,83.16,broken clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
